Category,Quantity,References,Value,package,Supplier,part number,price
Capacitors,1,C1,0.5pF,0402,FARNELL,1885290,0.07
Capacitors,1,C2,0.75pF,0402,FARNELL,2310321,0.10
Capacitors,1,C3,1pF,0402,FARNELL,2310299,0.06
Capacitors,4,"C4-C5,C9-C10",100pF,0603,FARNELL,1740605,0.08
Capacitors,2,"C6,C11",10nF,0603,FARNELL,2522596,0.04
Capacitors,1,C7,20pF,0402,FARNELL,1885343,0.17
Capacitors,7,"C8,C12,C20-C24",10uF,1210,FARNELL,2896670,0.38
Capacitors,4,"C13,C16-C18",4.7pF,0603,FARNELL,721920,0.04
Capacitors,1,C14,1uF,0603,FARNELL,2533943,0.07
Capacitors,6,"C15,C25-C29",100nF,0603,FARNELL,2496834,0.14
Resistors,9,"R1,R4-R9,R15,R20",0.01R,0805,FARNELL,2616755,0.08
Resistors,4,"R2,R14,R16,R19",50R,0603,FARNELL,2112878,0.01
Resistors,1,R3,10k,0603,FARNELL,1469748,0.01
Resistors,2,R10-R11,16K,0603,FARNELL,2447261,0.01
Resistors,4,"R12-R13,R17-R18",499R,0603,FARNELL,2694886,0.01
Integrated Circuits,1,U1,ADL5375,LFCSP_24_TH,DIGIKEY,ADL5375-05ACPZ-R7CT-ND,8.29
Integrated Circuits,1,U2,ADL5324,SOT89_TH,DIGIKEY,ADL5324ARKZ-R7CT-ND,6.42
Integrated Circuits,1,U3,AD9717,LFCSP600X600X40-41,DIGIKEY,AD9717BCPZ-ND,14.72
Integrated Circuits,1,U4,NCP1117D33DT33RKG,TO252,FARNELL,1652365,0.41
Integrated Circuits,1,U5,MIC29301-5.0WU,TO263-5,FARNELL,2510023,3.23
Miscellaneous,6,"CARRIER_IN,IQ_CLK,IQ_DATA,J1,J7-J8",SMAEDGE,SMA_EDGE,RAPID,43-1393,1.28
Miscellaneous,1,J2,CONN-H15,NULL,FARNELL,1022285,1.99
Miscellaneous,3,J3-J5,CONN-SIL1,CONN-SIL1,,,
Miscellaneous,1,J6,CONN-SIL5,CONN-SIL5,RAPID,54-5071,1.26
Miscellaneous,1,J9,CONN-SIL2,CONN-SIL2,,,
Miscellaneous,1,L1,15nH,0603,FARNELL,1865862,0.20
Miscellaneous,1,L2,4.7nH,0402,FARNELL,2470299,0.16
Miscellaneous,4,L3-L6,2200nH,0603,FARNELL,2215629,0.11
Miscellaneous,1,PI_GPIO,TRANS 40 DIL,TRANS 40 DIL,RAPID,50-8045,0.35
Miscellaneous,1,POWER,TBLOCK-I2,TBLOCK-I2,RAPID,21-1624,0.62
